Date,Open,High,Low,Close,Adj Close,Volume
😋,52.900002,53.180000,51.919998,52.950001,52.257160,106400
2021-11-29,53.130001,53.259998,51.020000,51.150002,50.480717,160300
2021-11-30,51.000000,52.599998,50.810001,51.740002,51.062996,325400
2021-12-01,52.669998,53.430000,52.000000,52.070000,51.388676,200100
2021-12-02,52.080002,54.299999,52.040001,53.880001,53.174992,168100
2021-12-03,53.959999,54.029999,52.790001,53.259998,52.563099,179700
2021-12-06,53.580002,54.730000,52.980000,54.509998,53.796745,159200
2021-12-07,54.959999,56.560001,54.950001,55.459999,54.734318,186500
2021-12-08,55.830002,57.869999,55.619999,57.540001,56.787098,233500
2021-12-09,57.080002,58.330002,55.330002,55.439999,54.714577,215400
2021-12-10,55.299999,56.820000,55.299999,56.230000,55.494240,152000
2021-12-13,55.950001,57.270000,55.430000,56.160000,55.425156,202200
2021-12-14,55.990002,57.540001,55.520000,55.630001,54.902092,268900
2021-12-15,55.720001,58.209999,55.599998,57.529999,56.777229,276800
2021-12-16,57.779999,58.689999,57.590000,58.330002,57.566761,503800
2021-12-17,58.070000,60.110001,57.560001,59.419998,58.642498,483000
2021-12-20,59.259998,59.549999,56.000000,59.240002,58.464855,336000
2021-12-21,59.639999,60.970001,59.240002,60.889999,60.093262,190500
2021-12-22,60.880001,63.090000,60.880001,63.080002,62.254608,201500
2021-12-23,63.099998,63.900002,62.459999,62.660000,61.840107,255200
2021-12-27,63.090000,64.110001,62.099998,63.799999,62.965187,189400
2021-12-28,64.400002,66.290001,64.129997,64.989998,64.139618,142900
2021-12-29,65.199997,66.330002,64.830002,65.910004,65.047592,134300
2021-12-30,65.910004,66.330002,64.410004,64.489998,63.646156,129700
2021-12-31,64.870003,65.379997,64.419998,64.440002,63.596817,204200
2022-01-03,64.639999,65.160004,61.049999,61.740002,60.932144,180800
2022-01-04,61.959999,62.990002,61.389999,61.500000,60.695282,146400
2022-01-05,61.470001,61.650002,58.810001,59.119999,58.346428,230900
2022-01-06,58.919998,59.869999,58.160000,59.470001,58.691849,115900
2022-01-07,59.200001,59.459999,57.759998,57.970001,57.211475,108200
2022-01-10,57.430000,57.570000,56.389999,57.400002,56.648933,122900
2022-01-11,57.360001,57.360001,56.340000,57.320000,56.569981,117100
2022-01-12,57.330002,58.360001,56.990002,57.830002,57.073307,210500
2022-01-13,58.279999,58.470001,57.349998,58.189999,57.428593,81100
